,TSLA,BND,SPY
2024-01-26,183.25,67.439208984375,475.6513671875
2024-01-29,190.92999267578125,67.708251953125,479.418212890625
2024-01-30,191.58999633789062,67.82882690429688,479.0473937988281
2024-01-31,187.2899932861328,68.11639404296875,471.2306823730469
2024-02-01,188.86000061035156,68.5275650024414,477.3982238769531
2024-02-02,187.91000366210938,67.9135971069336,482.4239501953125
2024-02-05,181.05999755859375,67.3740005493164,480.6673583984375
2024-02-06,185.10000610351562,67.69031524658203,482.0628967285156
2024-02-07,187.5800018310547,67.56007385253906,486.0834655761719
2024-02-08,189.55999755859375,67.38330841064453,486.2981872558594
2024-02-09,193.57000732421875,67.32746887207031,489.1086730957031
2024-02-12,188.1300048828125,67.34607696533203,488.89398193359375
2024-02-13,184.02000427246094,66.7599868774414,482.1604309082031
2024-02-14,188.7100067138672,67.01117706298828,486.5421447753906
2024-02-15,200.4499969482422,67.1972427368164,489.89910888671875
2024-02-16,199.9499969482422,66.9832763671875,487.45947265625
2024-02-19,199.9499969482422,66.9832763671875,487.45947265625
2024-02-20,193.75999450683594,67.06697845458984,484.7758483886719
2024-02-21,194.77000427246094,66.88092041015625,485.2149353027344
2024-02-22,197.41000366210938,66.9088363647461,495.2566833496094
2024-02-23,191.97000122070312,67.15070343017578,495.5982666015625
2024-02-26,199.39999389648438,67.02977752685547,493.7831115722656
2024-02-27,199.72999572753906,66.92745208740234,494.700439453125
2024-02-28,202.0399932861328,67.07627868652344,494.0466613769531
2024-02-29,201.8800048828125,67.18794250488281,495.82269287109375
2024-03-01,202.63999938964844,67.46968078613281,500.4776306152344
2024-03-04,188.13999938964844,67.31108856201172,499.9408874511719
2024-03-05,180.74000549316406,67.6749038696289,494.94439697265625
2024-03-06,176.5399932861328,67.79619598388672,497.4524230957031
2024-03-07,178.64999389648438,67.90814208984375,502.39031982421875
2024-03-08,175.33999633789062,67.97344207763672,499.37493896484375
2024-03-11,177.77000427246094,67.94548797607422,498.94549560546875
2024-03-12,177.5399932861328,67.74021911621094,504.3128356933594
2024-03-13,169.47999572753906,67.62828826904297,503.5223693847656
2024-03-14,162.5,67.22710418701172,502.5270080566406
2024-03-15,163.57000732421875,67.18981170654297,499.07635498046875
2024-03-18,173.8000030517578,67.10582733154297,502.04241943359375
2024-03-19,171.32000732421875,67.28306579589844,504.83233642578125
2024-03-20,175.66000366210938,67.40436553955078,509.5016784667969
2024-03-21,172.82000732421875,67.46034240722656,511.1854248046875
2024-03-22,170.8300018310547,67.68426513671875,510.2162780761719
2024-03-25,172.6300048828125,67.55362701416016,508.8067321777344
2024-03-26,177.6699981689453,67.60961151123047,507.8669128417969
2024-03-27,179.8300018310547,67.84284210205078,512.1349487304688
2024-03-28,175.7899932861328,67.75888061523438,512.0370483398438
2024-03-29,175.7899932861328,67.75888061523438,512.0370483398438
2024-04-01,175.22000122070312,67.296630859375,511.1462097167969
2024-04-02,166.6300048828125,67.22178649902344,507.8963317871094
2024-04-03,168.3800048828125,67.2685775756836,508.4542541503906
2024-04-04,171.11000061035156,67.40892028808594,502.248046875
2024-04-05,164.89999389648438,67.07205963134766,507.4949645996094
2024-04-08,172.97999572753906,67.01593780517578,507.77880859375
2024-04-09,176.8800048828125,67.25920867919922,508.3661804199219
2024-04-10,171.75999450683594,66.47322082519531,503.27581787109375
2024-04-11,174.60000610351562,66.47322082519531,507.0740051269531
2024-04-12,171.0500030517578,66.62290954589844,500.0747985839844
2024-04-15,161.47999572753906,66.18314361572266,493.8098449707031
2024-04-16,157.11000061035156,66.01471710205078,492.9092102050781
2024-04-17,155.4499969482422,66.33284759521484,489.9920654296875
2024-04-18,149.92999267578125,66.1550521850586,488.9837951660156
2024-04-19,147.0500030517578,66.23928833007812,484.7157897949219
2024-04-22,142.0500030517578,66.2673568725586,489.1795959472656
2024-04-23,144.67999267578125,66.38900756835938,494.9844665527344
2024-04-24,162.1300048828125,66.22057342529297,494.7495422363281
2024-04-25,170.17999267578125,66.0334243774414,492.87005615234375
2024-04-26,168.2899932861328,66.18314361572266,497.5394592285156
2024-04-29,194.0500030517578,66.379638671875,499.301513671875
2024-04-30,183.27999877929688,66.12700653076172,491.3919677734375
2024-05-01,179.99000549316406,66.3653793334961,489.7962951660156
2024-05-02,180.00999450683594,66.62818145751953,494.3775634765625
2024-05-03,181.19000244140625,66.96607208251953,500.5055236816406
2024-05-06,184.75999450683594,67.0317611694336,505.67413330078125
2024-05-07,177.80999755859375,67.16315460205078,506.232177734375
2024-05-08,174.72000122070312,67.00360870361328,506.281005859375
2024-05-09,171.97000122070312,67.18193817138672,509.19818115234375
2024-05-10,168.47000122070312,66.99422454833984,509.8541259765625
2024-05-13,171.88999938964844,67.050537109375,509.9226379394531
2024-05-14,177.5500030517578,67.24764251708984,512.2622680664062
2024-05-15,173.99000549316406,67.67937469482422,518.6055908203125
2024-05-16,174.83999633789062,67.56674194335938,517.5384521484375
2024-05-17,177.4600067138672,67.3978042602539,518.282470703125
2024-05-20,174.9499969482422,67.33210754394531,518.8795776367188
2024-05-21,186.60000610351562,67.47289276123047,520.1522216796875
2024-05-22,180.11000061035156,67.38843536376953,518.6544799804688
2024-05-23,173.74000549316406,67.19132995605469,514.8661499023438
2024-05-24,179.24000549316406,67.26641845703125,518.2728271484375
2024-05-27,179.24000549316406,67.26641845703125,518.2728271484375
2024-05-28,176.75,66.94731140136719,518.6348876953125
2024-05-29,176.19000244140625,66.70326232910156,515.003173828125
2024-05-30,178.7899932861328,66.99422454833984,511.5867614746094
2024-05-31,178.0800018310547,67.23825073242188,516.2462768554688
2024-06-03,176.2899932861328,67.61388397216797,516.6672973632812
2024-06-04,174.77000427246094,67.8680648803711,517.2449340820312
2024-06-05,175.0,68.05635833740234,523.3924560546875
2024-06-06,177.94000244140625,68.06576538085938,523.382568359375
2024-06-07,177.47999572753906,67.51972961425781,522.7462768554688
2024-06-10,173.7899932861328,67.41617584228516,524.361572265625
2024-06-11,170.66000366210938,67.6891860961914,525.6243286132812
2024-06-12,177.2899932861328,67.99986267089844,529.9412231445312
2024-06-13,182.47000122070312,68.30113220214844,531.00830078125
2024-06-14,178.00999450683594,68.4046859741211,531.3313598632812
2024-06-17,187.44000244140625,68.15050506591797,535.5602416992188
2024-06-18,184.86000061035156,68.3858642578125,536.9208984375
2024-06-19,184.86000061035156,68.3858642578125,536.9208984375
2024-06-20,181.57000732421875,68.25406646728516,535.4623413085938
2024-06-21,183.00999450683594,68.27288055419922,534.7445068359375
2024-06-24,182.5800018310547,68.31053924560547,533.0061645507812
2024-06-25,187.35000610351562,68.34821319580078,535.0586547851562
2024-06-26,196.3699951171875,68.02811431884766,535.7265014648438
2024-06-27,197.4199981689453,68.15050506591797,536.571044921875
2024-06-28,197.8800048828125,67.83039855957031,534.4596557617188
2024-07-01,209.86000061035156,67.4725112915039,535.5596313476562
2024-07-02,231.25999450683594,67.67081451416016,539.1637573242188
2024-07-03,246.38999938964844,68.05799865722656,541.56982421875
2024-07-04,246.38999938964844,68.05799865722656,541.56982421875
2024-07-05,251.52000427246094,68.36962127685547,544.6928100585938
2024-07-08,252.94000244140625,68.36962127685547,545.3212890625
2024-07-09,262.3299865722656,68.34129333496094,545.8517456054688
2024-07-10,263.260009765625,68.39795684814453,551.2529296875
2024-07-11,241.02999877929688,68.73793029785156,546.499755859375
2024-07-12,248.22999572753906,68.91735076904297,549.9468383789062
2024-07-15,252.63999938964844,68.70014953613281,551.459228515625
2024-07-16,256.55999755859375,68.96456146240234,554.7294311523438
2024-07-17,248.5,69.03065490722656,546.9515380859375
2024-07-18,249.22999572753906,68.85124206542969,542.748291015625
2024-07-19,239.1999969482422,68.67179870605469,539.1441040039062
2024-07-22,251.50999450683594,68.64350128173828,544.7025756835938
2024-07-23,246.3800048828125,68.6529312133789,543.8482055664062
2024-07-24,215.99000549316406,68.45462799072266,531.523193359375
2024-07-25,220.25,68.605712890625,528.7537841796875
2024-07-26,219.8000030517578,68.87955474853516,534.6757202148438
