Date,TSLA,BND,SPY
2020-11-30,189.1999969482422,75.61556243896484,336.53985595703125
2020-12-01,194.9199981689453,75.38703918457031,340.22076416015625
2020-12-02,189.60667419433594,75.25863647460938,340.9364929199219
2020-12-03,197.7933349609375,75.4041519165039,340.843505859375
2020-12-04,199.67999267578125,75.20726013183594,343.7808532714844
2020-12-07,213.9199981689453,75.3100357055664,343.0743713378906
2020-12-08,216.6266632080078,75.33566284179688,344.0782165527344
2020-12-09,201.4933319091797,75.20726013183594,340.9921875
2020-12-10,209.02333068847656,75.36135864257812,340.8807678222656
2020-12-11,203.3300018310547,75.48118591308594,340.48101806640625
2020-12-14,213.27667236328125,75.45552062988281,338.9566345214844
2020-12-15,211.0833282470703,75.48976135253906,343.5390930175781
2020-12-16,207.58999633789062,75.41272735595703,344.0782165527344
2020-12-17,218.63333129882812,75.42981719970703,346.00238037109375
2020-12-18,231.6666717529297,75.4041519165039,344.62078857421875
2020-12-21,216.6199951171875,75.41272735595703,343.38861083984375
2020-12-22,213.44667053222656,75.53256225585938,342.80987548828125
2020-12-23,215.32666015625,75.44752502441406,343.11798095703125
2020-12-24,220.58999633789062,75.57635498046875,344.4527282714844
2020-12-28,221.22999572753906,75.55058288574219,347.4118957519531
2020-12-29,221.99667358398438,75.57635498046875,346.7491455078125
2020-12-30,231.5933380126953,75.62787628173828,347.243896484375
2020-12-31,235.22332763671875,75.73091888427734,349.0081481933594
2021-01-04,243.2566680908203,75.62787628173828,344.2567138671875
2021-01-05,245.0366668701172,75.49906921386719,346.6277770996094
2021-01-06,251.9933319091797,75.16414642333984,348.7000732421875
2021-01-07,272.0133361816406,75.00957489013672,353.880859375
2021-01-08,293.3399963378906,74.94086456298828,355.8971862792969
2021-01-11,270.39666748046875,74.86357879638672,353.49810791015625
2021-01-12,283.14666748046875,74.84642791748047,353.5727844238281
2021-01-13,284.8033447265625,75.0439224243164,354.5249938964844
2021-01-14,281.6666564941406,74.94945526123047,353.283447265625
2021-01-15,275.38665771484375,75.00957489013672,350.70703125
2021-01-19,281.51666259765625,75.11264038085938,353.4607849121094
2021-01-20,283.48333740234375,75.10401153564453,358.35223388671875
2021-01-21,281.663330078125,75.00099182128906,358.67889404296875
2021-01-22,282.21331787109375,75.03535461425781,357.4094543457031
2021-01-25,293.6000061035156,75.20706939697266,358.8190002441406
2021-01-26,294.36334228515625,75.19849395751953,358.2588806152344
2021-01-27,288.0533447265625,75.19849395751953,349.5028991699219
2021-01-28,278.4766540527344,75.13836669921875,352.50872802734375
2021-01-29,264.510009765625,75.07826232910156,345.4515380859375
2021-02-01,279.9366760253906,75.10321044921875,351.2017822265625
2021-02-02,290.92999267578125,75.00861358642578,356.1678771972656
2021-02-03,284.89666748046875,74.87959289550781,356.44793701171875
2021-02-04,283.3299865722656,74.89678955078125,360.49920654296875
2021-02-05,284.07666015625,74.79358673095703,361.9180603027344
2021-02-08,287.8066711425781,74.87959289550781,364.53192138671875
2021-02-09,283.1533203125,74.84519958496094,364.28912353515625
2021-02-10,268.2733459472656,74.96562194824219,364.1304016113281
2021-02-11,270.5533447265625,74.8882064819336,364.71856689453125
2021-02-12,272.0400085449219,74.69036102294922,366.5201721191406
2021-02-16,265.40667724609375,74.33772277832031,366.2027282714844
2021-02-17,266.04998779296875,74.49253845214844,366.286865234375
2021-02-18,262.4599914550781,74.44953155517578,364.7279052734375
2021-02-19,260.4333190917969,74.19152069091797,364.0838317871094
2021-02-22,238.1666717529297,73.98509216308594,361.2833251953125
2021-02-23,232.94667053222656,73.96791076660156,361.72210693359375
2021-02-24,247.33999633789062,73.92489624023438,365.7080078125
2021-02-25,227.4066619873047,73.27982330322266,356.89599609375
2021-02-26,225.1666717529297,73.91629791259766,355.0570068359375
2021-03-01,239.47666931152344,73.82067108154297,363.6637268066406
2021-03-02,228.81333923339844,73.81211853027344,360.8259582519531
2021-03-03,217.73333740234375,73.57949829101562,356.0465087890625
2021-03-04,207.14666748046875,73.3469009399414,351.6405029296875
2021-03-05,199.31666564941406,73.30386352539062,358.1095275878906
2021-03-08,187.6666717529297,72.96791076660156,356.32659912109375
2021-03-09,224.52667236328125,73.20909881591797,361.4140319824219
2021-03-10,222.68666076660156,73.3469009399414,363.6637268066406
2021-03-11,233.1999969482422,73.35552215576172,367.3508605957031
2021-03-12,231.2433319091797,72.91619873046875,367.8456726074219
2021-03-15,235.97999572753906,73.00234985351562,370.0393371582031
2021-03-16,225.6266632080078,72.99373626708984,369.5726013183594
2021-03-17,233.93666076660156,72.96791076660156,370.832763671875
2021-03-18,217.72000122070312,72.66641235351562,365.43731689453125
2021-03-19,218.2899932861328,72.72673034667969,364.7611999511719
2021-03-22,223.3333282470703,72.93343353271484,367.67376708984375
2021-03-23,220.72000122070312,73.09711456298828,364.77984619140625
