,Forecast,CI_Lower,CI_Upper
2026-08-27,437.9189167200367,254.9990013769971,620.8388320630763
2026-08-28,437.9189377257686,254.42337012578383,621.4145053257535
2026-08-31,437.91891800782287,253.84949802036974,621.988337995276
2026-09-01,437.9189365169036,253.27744799603735,622.5604250377698
2026-09-02,437.91891914255046,252.7071286958297,623.1307095892712
2026-09-03,437.9189354517211,252.13859408846457,623.6992768149776
2026-09-04,437.9189201424108,251.57176221686856,624.266078067953
2026-09-07,437.9189345131431,251.00667918877366,624.8311898375125
2026-09-08,437.91892102343314,250.44327136780288,625.3945706790635
2026-09-09,437.91893368612153,249.88157797338738,625.9562893988557
2026-09-10,437.91892179974184,249.32153273761799,626.5163108618657
2026-09-11,437.91893295739703,248.7631688472843,627.0746970675098
2026-09-14,437.9189224837824,248.20642656263672,627.6314184049281
2026-09-15,437.9189323152862,247.65133379043522,628.1865308401373
2026-09-16,437.9189230865213,247.09783657744862,628.7400095955941
2026-09-17,437.9189317494944,246.54595821228372,629.2919052867051
2026-09-18,437.9189236176216,245.99564987357493,629.8421973616682
2026-09-21,437.91893125095055,245.44693081376172,630.3909316881394
2026-09-22,437.9189240855979,244.89975676538603,630.9380914058097
2026-09-23,437.91893081166177,244.35414345636747,631.4837181669561
2026-09-24,437.9189244979527,243.810050662821,632.0277983330843
2026-09-25,437.91893042458514,243.2674910378691,632.5703698113011
2026-09-28,437.9189248612969,242.72642795049362,633.1114217721001
2026-09-29,437.91893008351497,242.18687137422813,633.6509887928019
2026-09-30,437.9189251814556,241.64878787279713,634.1890624901141
2026-10-01,437.918929782983,241.1121850873659,634.7256744786001
2026-10-02,437.9189254635618,240.57703242464873,635.2608185024749
2026-10-05,437.9189295181711,240.04333549842357,635.7945235379186
2026-10-06,437.91892571213805,239.51106624753888,636.3267851767372
2026-10-07,437.9189292848337,238.98022852618965,636.8576300434778
2026-10-08,437.9189259311696,238.45079653057493,637.3870553317643
2026-10-09,437.9189290792298,237.9227725903929,637.9150855680667
2026-10-12,437.9189261241681,237.39613291622885,638.4417193321074
2026-10-13,437.9189288980632,236.87087851957827,638.9669792765482
2026-10-14,437.91892629422756,236.34698741051847,639.4908651779367
2026-10-15,437.91892873842926,235.82445946330256,640.013398013556
2026-10-16,437.91892644407454,235.30327429737096,640.5345785907781
2026-10-19,437.9189285977688,234.7834308084054,641.0544263871323
2026-10-20,437.91892657611135,234.26491005693225,641.5729430952904
2026-10-21,437.9189284738266,233.74771009912547,642.0901468485278
2026-10-22,437.9189266924548,233.23181328760367,642.6060400973059
2026-10-23,437.9189283646157,232.7172169608495,643.1206397683818
2026-10-26,437.9189267949702,232.20390463159904,643.6339489583414
2026-10-27,437.9189282683851,231.6918730272925,644.1459835094777
2026-10-28,437.91892688530106,231.18110670383103,644.6567470667711
2026-10-29,437.91892818359213,230.67160187092335,645.1662544962609
2026-10-30,437.9189269648956,230.16334402394583,645.6745099058454
2026-11-02,437.91892810887725,229.65632893646023,646.1815272812943
2026-11-03,437.9189270350298,229.15054295133817,646.6873111187215
2026-11-04,437.9189280430427,228.64598147727168,647.1918746088137
2026-11-05,437.9189270968282,228.1426316229887,647.6952225706677
2026-11-06,437.91892798503295,227.64048849452973,648.1973674755361
2026-11-09,437.91892715128154,227.13953989397461,648.6983144085884
2026-11-10,437.918927933918,226.63978067897074,649.1980751888652
2026-11-11,437.9189271992627,226.1411992805151,649.6966551180103
2026-11-12,437.91892788887833,225.6437903551286,650.194065422628
2026-11-13,437.9189272415411,225.1475429054212,650.690311577661
2026-11-16,437.9189278491919,224.6524514279131,651.1854042704707
2026-11-17,437.91892727879446,224.15850544582597,651.6793491117629
2026-11-18,437.91892781422246,223.66569933141412,652.1721562970308
2026-11-19,437.91892731162,223.1740230830812,652.6638315401588
2026-11-20,437.9189277834093,222.683470979819,653.1543845869996
2026-11-23,437.91892734054403,222.19403345471102,653.643821226377
2026-11-24,437.9189277562585,221.70570472033785,654.1321507921791
2026-11-25,437.91892736603035,221.21847560831975,654.6193791237409
2026-11-26,437.91892773233474,220.73234028803654,655.1055151766329
2026-11-27,437.9189273884875,220.247289957359,655.590564819616
2026-11-30,437.91892771125447,219.76331876248457,656.0745366600244
2026-12-01,437.9189274082754,219.2804182386622,656.5574365778887
2026-12-02,437.9189276926797,218.79858252612865,657.0392728592308
2026-12-03,437.91892742571144,218.3178034716619,657.520051379761
2026-12-04,437.91892767631265,217.83807522430945,657.9997801283158
2026-12-07,437.91892744107514,217.35938991920764,658.4784649629427
2026-12-08,437.9189276618909,216.881741726842,658.9561135969398
2026-12-09,437.9189274546127,216.4051230499101,659.4327318593153
2026-12-10,437.9189276491832,215.92952809108672,659.9083272072797
2026-12-11,437.9189274665412,215.45494950193822,660.3829054311442
2026-12-14,437.9189276379859,214.9813815264401,660.8564737495317
2026-12-15,437.91892747705197,214.50881704820188,661.329037905902
