,Forecast,CI_Lower,CI_Upper
2026-04-30,692.0469856953348,629.2005654530059,754.8934059376637
2026-05-01,692.0469856953348,628.7828255125852,755.3111458780844
2026-05-04,692.0469856953348,628.3678259177294,755.7261454729402
2026-05-05,692.0469856953348,627.9555134362661,756.1384579544035
2026-05-06,692.0469856953348,627.5458365374465,756.5481348532231
2026-05-07,692.0469856953348,627.1387453167715,756.9552260738981
2026-05-08,692.0469856953348,626.7341914250347,757.3597799656349
2026-05-11,692.0469856953348,626.3321280012964,757.7618433893732
2026-05-12,692.0469856953348,625.9325096095265,758.1614617811431
2026-05-13,692.0469856953348,625.5352921786749,758.5586792119947
2026-05-14,692.0469856953348,625.1404329459419,758.9535384447277
2026-05-15,692.0469856953348,624.7478904030468,759.3460809876228
2026-05-18,692.0469856953348,624.3576242452984,759.7363471453712
2026-05-19,692.0469856953348,623.9695953232969,760.1243760673727
2026-05-20,692.0469856953348,623.583765597095,760.5102057935746
2026-05-21,692.0469856953348,623.2000980926754,760.8938732979942
2026-05-22,692.0469856953348,622.8185568605966,761.275414530073
2026-05-25,692.0469856953348,622.4391069366799,761.6548644539897
2026-05-26,692.0469856953348,622.0617143046144,762.0322570860552
2026-05-27,692.0469856953348,621.6863458603676,762.407625530302
2026-05-28,692.0469856953348,621.3129693782956,762.781002012374
2026-05-29,692.0469856953348,620.9415534788554,763.1524179118142
2026-06-01,692.0469856953348,620.5720675978264,763.5219037928432
2026-06-02,692.0469856953348,620.2044819569578,763.8894894337118
2026-06-03,692.0469856953348,619.8387675359597,764.2552038547099
2026-06-04,692.0469856953348,619.4748960457657,764.6190753449039
2026-06-05,692.0469856953348,619.112839902995,764.9811314876746
2026-06-08,692.0469856953348,618.7525722055506,765.341399185119
2026-06-09,692.0469856953348,618.3940667092916,765.699904681378
2026-06-10,692.0469856953348,618.0372978057223,766.0566735849472
2026-06-11,692.0469856953348,617.6822405006458,766.4117308900238
2026-06-12,692.0469856953348,617.3288703937279,766.7651009969417
2026-06-15,692.0469856953348,616.9771636589305,767.1168077317391
2026-06-16,692.0469856953348,616.6270970257631,767.4668743649065
2026-06-17,692.0469856953348,616.2786477613153,767.8153236293543
2026-06-18,692.0469856953348,615.9317936530299,768.1621777376397
2026-06-19,692.0469856953348,615.5865129921782,768.5074583984914
2026-06-22,692.0469856953348,615.2427845580055,768.8511868326641
2026-06-23,692.0469856953348,614.9005876025105,769.193383788159
2026-06-24,692.0469856953348,614.5599018358314,769.5340695548382
2026-06-25,692.0469856953348,614.2207074122067,769.8732639784629
2026-06-26,692.0469856953348,613.8829849164847,770.2109864741849
2026-06-29,692.0469856953348,613.5467153511553,770.5472560395143
2026-06-30,692.0469856953348,613.2118801238797,770.8820912667899
2026-07-01,692.0469856953348,612.8784610354951,771.2155103551745
2026-07-02,692.0469856953348,612.546440268471,771.5475311221986
2026-07-03,692.0469856953348,612.2158003757993,771.8781710148703
2026-07-06,692.0469856953348,611.8865242702955,772.2074471203741
2026-07-07,692.0469856953348,611.5585952142947,772.5353761763749
2026-07-08,692.0469856953348,611.2319968097229,772.8619745809467
2026-07-09,692.0469856953348,610.9067129885293,773.1872584021403
2026-07-10,692.0469856953348,610.5827280034614,773.5112433872082
2026-07-13,692.0469856953348,610.2600264191693,773.8339449715003
2026-07-14,692.0469856953348,609.9385931036251,774.1553782870445
2026-07-15,692.0469856953348,609.6184132198423,774.4755581708273
2026-07-16,692.0469856953348,609.2994722178852,774.7944991727844
2026-07-17,692.0469856953348,608.9817558271529,775.1122155635167
2026-07-20,692.0469856953348,608.6652500489291,775.4287213417405
2026-07-21,692.0469856953348,608.3499411491845,775.7440302414851
2026-07-22,692.0469856953348,608.035815651623,776.0581557390466
2026-07-23,692.0469856953348,607.7228603309609,776.3711110597087
2026-07-24,692.0469856953348,607.4110622064295,776.6829091842401
2026-07-27,692.0469856953348,607.1004085354926,776.993562855177
2026-07-28,692.0469856953348,606.7908868077701,777.3030845828995
2026-07-29,692.0469856953348,606.4824847391591,777.6114866515105
2026-07-30,692.0469856953348,606.1751902661453,777.9187811245243
2026-07-31,692.0469856953348,605.8689915402967,778.2249798503728
2026-08-03,692.0469856953348,605.5638769229338,778.5300944677358
2026-08-04,692.0469856953348,605.259834979966,778.8341364107036
2026-08-05,692.0469856953348,604.9568544768935,779.1371169137761
2026-08-06,692.0469856953348,604.6549243739623,779.4390470167073
2026-08-07,692.0469856953348,604.3540338214715,779.7399375691981
2026-08-10,692.0469856953348,604.054172155223,780.0397992354466
2026-08-11,692.0469856953348,603.7553288921121,780.3386424985575
2026-08-12,692.0469856953348,603.4574937258508,780.6364776648188
2026-08-13,692.0469856953348,603.1606565228211,780.9333148678485
2026-08-14,692.0469856953348,602.8648073180511,781.2291640726185
2026-08-17,692.0469856953348,602.5699363113122,781.5240350793574
2026-08-18,692.0469856953348,602.2760338633307,781.8179375273389
2026-08-19,692.0469856953348,601.9830904921114,782.1108808985582
2026-08-20,692.0469856953348,601.6910968693685,782.4028745213011
2026-08-21,692.0469856953348,601.4000438170586,782.693927573611
2026-08-24,692.0469856953348,601.1099223040158,782.9840490866538
2026-08-25,692.0469856953348,600.8207234426811,783.2732479479885
2026-08-26,692.0469856953348,600.5324384859258,783.5615329047438
2026-08-27,692.0469856953348,600.245058823965,783.8489125667046
2026-08-28,692.0469856953348,599.9585759813566,784.135395409313
2026-08-31,692.0469856953348,599.6729816140853,784.4209897765843
2026-09-01,692.0469856953348,599.3882675067267,784.7057038839429
2026-09-02,692.0469856953348,599.1044255696901,784.9895458209795
2026-09-03,692.0469856953348,598.8214478365363,785.2725235541333
2026-09-04,692.0469856953348,598.539326461369,785.5546449293006
2026-09-07,692.0469856953348,598.2580537162967,785.8359176743729
2026-09-08,692.0469856953348,597.977621988962,786.1163494017076
2026-09-09,692.0469856953348,597.6980237801392,786.3959476105304
2026-09-10,692.0469856953348,597.419251701393,786.6747196892766
2026-09-11,692.0469856953348,597.141298472801,786.9526729178685
2026-09-14,692.0469856953348,596.864156920736,787.2298144699336
2026-09-15,692.0469856953348,596.5878199757049,787.5061514149647
2026-09-16,692.0469856953348,596.312280670245,787.7816907204246
2026-09-17,692.0469856953348,596.0375321368745,788.0564392537951
2026-09-18,692.0469856953348,595.7635676060951,788.3304037845745
2026-09-21,692.0469856953348,595.4903804044459,788.6035909862237
2026-09-22,692.0469856953348,595.2179639526066,788.876007438063
2026-09-23,692.0469856953348,594.9463117635494,789.1476596271202
2026-09-24,692.0469856953348,594.6754174407355,789.4185539499341
2026-09-25,692.0469856953348,594.4052746763585,789.688696714311
2026-09-28,692.0469856953348,594.1358772496305,789.958094141039
2026-09-29,692.0469856953348,593.8672190251107,790.2267523655589
2026-09-30,692.0469856953348,593.5992939510747,790.4946774395949
2026-10-01,692.0469856953348,593.3320960579249,790.7618753327447
2026-10-02,692.0469856953348,593.065619456637,791.0283519340326
2026-10-05,692.0469856953348,592.7998583372474,791.2941130534222
2026-10-06,692.0469856953348,592.5348069673742,791.5591644232954
2026-10-07,692.0469856953348,592.270459690774,791.8235116998956
2026-10-08,692.0469856953348,592.0068109259354,792.0871604647342
2026-10-09,692.0469856953348,591.743855164702,792.3501162259676
2026-10-12,692.0469856953348,591.4815869709308,792.6123844197388
2026-10-13,692.0469856953348,591.2200009791809,792.8739704114887
2026-10-14,692.0469856953348,590.9590918934323,793.1348794972373
2026-10-15,692.0469856953348,590.6988544858353,793.3951169048343
2026-10-16,692.0469856953348,590.4392835954885,793.6546877951811
2026-10-19,692.0469856953348,590.180374127244,793.9135972634256
2026-10-20,692.0469856953348,589.9221210505409,794.1718503401287
2026-10-21,692.0469856953348,589.6645193982648,794.4294519924048
2026-10-22,692.0469856953348,589.4075642656334,794.6864071250362
2026-10-23,692.0469856953348,589.1512508091062,794.9427205815634
2026-10-26,692.0469856953348,588.8955742453201,795.1983971453495
2026-10-27,692.0469856953348,588.6405298500472,795.4534415406224
2026-10-28,692.0469856953348,588.3861129571767,795.7078584334929
2026-10-29,692.0469856953348,588.1323189577188,795.9616524329508
2026-10-30,692.0469856953348,587.8791432988304,796.2148280918392
2026-11-02,692.0469856953348,587.6265814828622,796.4673899078074
2026-11-03,692.0469856953348,587.3746290664266,796.719342324243
2026-11-04,692.0469856953348,587.1232816594853,796.9706897311843
2026-11-05,692.0469856953348,586.8725349244573,797.2214364662123
2026-11-06,692.0469856953348,586.6223845753452,797.4715868153244
2026-11-09,692.0469856953348,586.3728263768803,797.7211450137893
2026-11-10,692.0469856953348,586.1238561436863,797.9701152469833
2026-11-11,692.0469856953348,585.8754697394604,798.2185016512092
2026-11-12,692.0469856953348,585.627663076171,798.4663083144986
2026-11-13,692.0469856953348,585.3804321132731,798.7135392773965
2026-11-16,692.0469856953348,585.1337728569393,798.9601985337302
2026-11-17,692.0469856953348,584.8876813593079,799.2062900313617
2026-11-18,692.0469856953348,584.6421537177443,799.4518176729252
2026-11-19,692.0469856953348,584.3971860741204,799.6967853165492
2026-11-20,692.0469856953348,584.1527746141059,799.9411967765637
2026-11-23,692.0469856953348,583.908915566476,800.1850558241936
2026-11-24,692.0469856953348,583.665605202433,800.4283661882366
2026-11-25,692.0469856953348,583.4228398349399,800.6711315557297
2026-11-26,692.0469856953348,583.1806158180694,800.9133555726002
2026-11-27,692.0469856953348,582.938929546365,801.1550418443046
2026-11-30,692.0469856953348,582.6977774542144,801.3961939364552
2026-12-01,692.0469856953348,582.4571560152358,801.6368153754338
2026-12-02,692.0469856953348,582.2170617416768,801.8769096489928
2026-12-03,692.0469856953348,581.9774911838241,802.1164802068455
2026-12-04,692.0469856953348,581.7384409294252,802.3555304612444
2026-12-07,692.0469856953348,581.4999076031216,802.594063787548
2026-12-08,692.0469856953348,581.2618878658927,802.8320835247769
2026-12-09,692.0469856953348,581.02437841451,803.0695929761596
2026-12-10,692.0469856953348,580.787375981003,803.3065954096666
2026-12-11,692.0469856953348,580.550877332134,803.5430940585356
2026-12-14,692.0469856953348,580.3148792688836,803.779092121786
2026-12-15,692.0469856953348,580.0793786259462,804.0145927647234
2026-12-16,692.0469856953348,579.8443722712341,804.2495991194355
2026-12-17,692.0469856953348,579.6098571053918,804.4841142852778
2026-12-18,692.0469856953348,579.3758300613192,804.7181413293504
2026-12-21,692.0469856953348,579.1422881037033,804.9516832869663
2026-12-22,692.0469856953348,578.9092282285592,805.1847431621104
2026-12-23,692.0469856953348,578.6766474627789,805.4173239278907
2026-12-24,692.0469856953348,578.4445428636892,805.6494285269804
2026-12-25,692.0469856953348,578.2129115186169,805.8810598720527
2026-12-28,692.0469856953348,577.981750544463,806.1122208462066
2026-12-29,692.0469856953348,577.751057087283,806.3429143033866
2026-12-30,692.0469856953348,577.5208283218768,806.5731430687928
2026-12-31,692.0469856953348,577.2910614513845,806.8029099392851
2027-01-01,692.0469856953348,577.0617537068902,807.0322176837794
2027-01-04,692.0469856953348,576.8329023470321,807.2610690436375
