,TSLA_ARIMA_Forecast
2025-08-19,405.2413191171353
2025-08-20,405.241319117858
2025-08-21,405.24131911511256
2025-08-22,405.2413191181693
2025-08-25,405.24131911629337
2025-08-26,405.241319116365
2025-08-27,405.24131911774674
2025-08-28,405.2413191158657
2025-08-29,405.2413191172623
2025-09-01,405.2413191168984
2025-09-02,405.24131911627984
2025-09-03,405.2413191173831
2025-09-04,405.241319116413
2025-09-05,405.2413191168258
2025-09-08,405.24131911704416
2025-09-09,405.24131911643093
2025-09-10,405.2413191170689
2025-09-11,405.241319116709
2025-09-12,405.2413191166821
2025-09-15,405.2413191170008
2025-09-16,405.2413191166011
2025-09-17,405.2413191168781
2025-09-18,405.24131911682684
2025-09-19,405.24131911667655
2025-09-22,405.2413191169154
2025-09-23,405.2413191167183
2025-09-24,405.2413191167906
2025-09-25,405.2413191168502
2025-09-26,405.2413191167146
2025-09-29,405.2413191168468
2025-09-30,405.241319116779
2025-10-01,405.2413191167645
2025-10-02,405.24131911683696
2025-10-03,405.2413191167526
2025-10-06,405.24131911680695
2025-10-07,405.2413191168016
2025-10-08,405.2413191167659
2025-10-09,405.24131911681724
2025-10-10,405.2413191167775
2025-10-13,405.24131911678955
2025-10-14,405.2413191168049
2025-10-15,405.2413191167752
2025-10-16,405.2413191168024
2025-10-17,405.2413191167899
2025-10-20,405.241319116785
2025-10-21,405.2413191168013
2025-10-22,405.24131911678364
2025-10-23,405.24131911679416
2025-10-24,405.24131911679416
2025-10-27,405.24131911678586
2025-10-28,405.24131911679683
2025-10-29,405.24131911678893
2025-10-30,405.24131911679075
2025-10-31,405.24131911679456
2025-11-03,405.2413191167881
2025-11-04,405.24131911679365
2025-11-05,405.24131911679143
2025-11-06,405.24131911679
2025-11-07,405.24131911679365
2025-11-10,405.24131911678995
2025-11-11,405.24131911679194
2025-11-12,405.24131911679217
2025-11-13,405.24131911679024
2025-11-14,405.24131911679257
2025-11-17,405.241319116791
2025-11-18,405.2413191167912
2025-11-19,405.2413191167921
2025-11-20,405.2413191167907
2025-11-21,405.24131911679183
2025-11-24,405.24131911679143
2025-11-25,405.24131911679103
2025-11-26,405.24131911679183
2025-11-27,405.2413191167911
2025-11-28,405.2413191167915
2025-12-01,405.2413191167916
2025-12-02,405.24131911679115
2025-12-03,405.24131911679166
2025-12-04,405.2413191167914
2025-12-05,405.2413191167914
2025-12-08,405.2413191167916
2025-12-09,405.2413191167913
2025-12-10,405.24131911679154
2025-12-11,405.2413191167915
2025-12-12,405.2413191167914
2025-12-15,405.24131911679154
2025-12-16,405.2413191167914
2025-12-17,405.24131911679143
2025-12-18,405.2413191167915
2025-12-19,405.2413191167914
2025-12-22,405.2413191167915
2025-12-23,405.24131911679143
2025-12-24,405.24131911679143
2025-12-25,405.2413191167915
2025-12-26,405.24131911679143
2025-12-29,405.2413191167915
2025-12-30,405.2413191167915
2025-12-31,405.2413191167915
2026-01-01,405.24131911679154
2026-01-02,405.2413191167915
2026-01-05,405.2413191167915
2026-01-06,405.2413191167915
2026-01-07,405.2413191167915
2026-01-08,405.2413191167915
2026-01-09,405.2413191167915
2026-01-12,405.2413191167915
2026-01-13,405.2413191167915
2026-01-14,405.2413191167915
2026-01-15,405.2413191167915
